,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_k,0.1012996161,0.0811178559,0.0005376432,0.2347503323,0.000873285,0.0006511799,9018.2216683945,10392.2122893447,1.0005086176
sd_k,0.0359106705,0.0360805112,5.53411e-05,0.1015786339,0.0003538439,0.0002502125,7264.0832261712,7307.8644679186,1.000881437
k[0],0.1049506603,0.0774616624,0.0132112216,0.2354341693,0.0008281443,0.0006424648,10981.8486414855,11459.5389420134,1.0002204691
b[0],0.0283904666,0.0088613382,0.0122730047,0.0454876742,7.54881e-05,5.33792e-05,13513.0073291,9614.5021254769,1.0002085628
prob[0],0.4654721638,0.02098346,0.4255442768,0.5044030478,0.0001801513,0.0001283215,13780.3660634942,15551.0449150499,1.0001171062
prob[1],0.5114036534,0.038210866,0.4472396479,0.5858789474,0.0003265732,0.000230927,12785.1134145563,16822.7249625164,1.0001332412
prob[2],0.4995862381,0.0065116037,0.4880167069,0.5119776537,5.56334e-05,3.93396e-05,13155.2508395539,17582.1434970407,1.0001229245
prob[3],0.4704183642,0.0112937444,0.4494593209,0.4912716004,9.43411e-05,6.72643e-05,12784.1823585871,10109.6445182022,1.0001529785
prob[4],0.5056322932,0.0100672632,0.4898988541,0.5250576264,8.52926e-05,6.03123e-05,12491.1837455285,15526.64373754,1.0001373105
prob[5],0.4578091806,0.0215283492,0.4178614756,0.4980148486,0.0001881613,0.0001347858,13732.4425389452,12411.1153133032,1.0001113035
prob[6],0.6628863522,0.060072661,0.5479975828,0.7728957295,0.0005643199,0.0003990447,11341.2083509228,9360.7384198207,1.0001798371
prob[7],0.418476894,0.0403427155,0.3442609236,0.4948538592,0.0003506074,0.0002536868,13679.916351696,12252.0428410302,1.0001142756
prob[8],0.7160854714,0.0744180843,0.5703619187,0.846292101,0.0006996908,0.0004947688,11472.7140528473,9588.6935060977,1.0001714832
prob[9],0.4475335206,0.0182594557,0.4137587691,0.4821435156,0.0001560177,0.0001120399,13099.5968046446,9992.8538751491,1.0001191427
prob[10],0.5640526504,0.0372360584,0.4921314983,0.6322771918,0.0003527278,0.0002494227,11503.014878971,11429.9220056894,1.0001727063
prob[11],0.4466230219,0.0190822251,0.4100362258,0.4815558238,0.0001644722,0.0001181947,13106.6141712889,10023.0341621994,1.0001134759
prob[12],0.387511864,0.0375108392,0.3185985509,0.4589963536,0.0003278564,0.0002408653,13150.1766882953,9974.8525956673,1.0001113752
prob[13],0.5720851971,0.0305250091,0.5146199205,0.6276824917,0.000275452,0.0001947786,11389.1813922861,9617.5105882218,1.0001819396
prob[14],0.4466002762,0.019463659,0.4094943175,0.4824624825,0.0001686688,0.0001212659,13165.0977447926,10117.676593533,1.0001136976
prob[15],0.6419794948,0.0540144983,0.5409185146,0.7417683284,0.0004949464,0.0003499885,11441.8592156732,9533.4840396178,1.0001738538
prob[16],0.4876334554,0.0303678512,0.4343615904,0.5463027608,0.0002593074,0.000183362,13511.6914616416,19975.3364571724,1.0001156261
prob[17],0.5604788477,0.0524432855,0.4687919401,0.6568662413,0.0004580315,0.0003238844,11950.8552108286,12563.6530250567,1.0001699379
