,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
k[0],0.0930354988,0.072491656,0.0,0.2106950779,0.0008266385,0.0005845439,1824.2977767949,617.7105087703,1.0016611641
b[0],0.0276167512,0.0095394938,0.0092184923,0.0459937243,0.0002254707,0.0001594578,2078.6528225077,651.0850045294,1.0017055937
prob[0],0.4698687933,0.0232676153,0.4270534426,0.5150828466,0.0004462605,0.0003278002,3197.6956334249,1895.2372902512,1.0014277594
prob[1],0.5188454763,0.0410764493,0.4487813732,0.5986135648,0.0003047199,0.000215473,17451.6434506598,17204.3814596634,1.000232119
prob[2],0.500913116,0.0070698746,0.4885885104,0.5146640558,6.39421e-05,4.53536e-05,12956.3231485607,18014.6327585355,1.0002132666
prob[3],0.4721970409,0.0118845098,0.4478523078,0.4937346108,0.0002454967,0.0001783807,1957.353801514,602.6078659388,1.0015478519
prob[4],0.5076468048,0.0111273934,0.4900395803,0.529149192,9.18494e-05,6.52713e-05,15681.7095798862,16729.9325297851,1.0001984595
prob[5],0.4626577195,0.0257633968,0.413999682,0.5082689559,0.0006987649,0.0005210181,2395.6562475518,850.049334815,1.0019492094
prob[6],0.6645415818,0.0620051999,0.5415594824,0.7742087849,0.0011828012,0.0008364555,2827.2136481928,1162.4997739673,1.001381044
prob[7],0.4270177191,0.0461050867,0.3421433937,0.5160556239,0.0010793522,0.0008344816,2521.0838072777,853.037147254,1.0018620235
prob[8],0.7186473597,0.0772388843,0.565097741,0.8505033122,0.0015021727,0.0010623137,2835.3510933639,1241.4849864814,1.0013912984
prob[9],0.4503079016,0.0198407369,0.4115919334,0.4880685159,0.0004629537,0.0003417286,1894.9514759634,603.1181278516,1.0019324263
prob[10],0.5671055967,0.0370050442,0.4984562431,0.6347193788,0.0004339961,0.0003068939,7830.1836729707,12778.6204500093,1.0007856839
prob[11],0.4497234995,0.0210570838,0.4075366689,0.4887423704,0.0005118511,0.0003790372,1941.5289774351,605.6138136485,1.0020506467
prob[12],0.3933879301,0.0419407056,0.3097685031,0.4696002188,0.0010959114,0.0008570222,1930.2083433546,608.5285239932,1.0021251054
prob[13],0.5737769725,0.0313405953,0.5152203204,0.6314909103,0.0004951947,0.0003501811,3322.9562769321,1713.9989478,1.0012659651
prob[14],0.4499230921,0.0217907716,0.4068736345,0.4903862503,0.0005529859,0.000410635,1984.0989283747,594.4181341879,1.002124254
prob[15],0.6441570868,0.0557950847,0.5377360029,0.7454667353,0.0009976242,0.0007054926,2906.2306747532,1260.5298262817,1.0013712699
prob[16],0.4943446255,0.0342189124,0.4358769841,0.561496902,0.0005115135,0.000373398,6354.6763581327,7419.9188539261,1.0004407443
prob[17],0.5682870278,0.0539580787,0.4750013423,0.6691873513,0.0003914225,0.0002767818,17821.5493234297,14823.0781319423,1.0002416169
prob[18],0.4132225544,0.0435319506,0.3303312285,0.4967849806,0.0010928467,0.0008502544,2156.2806962996,602.7696401881,1.0020595735
prob[19],0.625128638,0.0598717353,0.5173064407,0.7327537586,0.0006040459,0.0004271376,7681.4158699307,5147.4533899899,1.0007468425
prob[20],0.5304699621,0.0147959457,0.5028707343,0.5568731212,0.0001886603,0.0001334093,5545.6610338162,3574.1007245691,1.000949034
prob[21],0.5497227105,0.0335657728,0.4974652549,0.6109080754,0.0002386742,0.0001687707,17504.4670548246,13171.4464579159,1.0001960134
prob[22],0.5003202549,0.0269562204,0.448360747,0.5467881731,0.0002041569,0.0001443632,18896.6043634876,16600.7512892408,1.0007477854
prob[23],0.5710017745,0.0421086552,0.5000002681,0.6453788043,0.0003036086,0.000214687,16917.0243914898,12083.6163654704,1.0002853624
prob[24],0.4996014006,0.0268906601,0.4508406365,0.5517633294,0.0002029285,0.0001434945,17090.5431132687,17910.0814158347,1.0002629288
prob[25],0.3805563028,0.0431090109,0.2973619453,0.4606053291,0.0011609141,0.0009142768,1898.1261761804,604.6762077529,1.0021244967
prob[26],0.597918102,0.0495444404,0.5000343763,0.6825647899,0.0006375779,0.0004508575,6587.770569722,7374.9021871818,1.0008609887
prob[27],0.4606484573,0.0230281438,0.4169390858,0.5044262281,0.0005465335,0.000405015,2376.2949556052,656.0916451948,1.0019147679
