,cdd_immed_wait,cdd_delay_wait,cdd_immed_amt,cdd_delay_amt
0,0,2,5,11
1,0,2,5,15
2,0,2,5,23
3,0,2,5,30
4,0,2,5,41
5,0,2,5,50
6,0,2,5,65
7,0,2,10,11
8,0,2,10,15
9,0,2,10,23
10,0,2,10,30
11,0,2,10,41
12,0,2,10,50
13,0,2,10,65
14,0,7,5,11
15,0,7,5,15
16,0,7,5,23
17,0,7,5,30
18,0,7,5,41
19,0,7,5,50
20,0,7,5,65
21,0,7,10,11
22,0,7,10,15
23,0,7,10,23
24,0,7,10,30
25,0,7,10,41
26,0,7,10,50
27,0,7,10,65
28,0,15,5,11
29,0,15,5,15
30,0,15,5,23
31,0,15,5,30
32,0,15,5,41
33,0,15,5,50
34,0,15,5,65
35,0,15,10,11
36,0,15,10,15
37,0,15,10,23
38,0,15,10,30
39,0,15,10,41
40,0,15,10,50
41,0,15,10,65
42,0,36,5,11
43,0,36,5,15
44,0,36,5,23
45,0,36,5,30
46,0,36,5,41
47,0,36,5,50
48,0,36,5,65
49,0,36,10,11
50,0,36,10,15
51,0,36,10,23
52,0,36,10,30
53,0,36,10,41
54,0,36,10,50
55,0,36,10,65
56,0,72,5,11
57,0,72,5,15
58,0,72,5,23
59,0,72,5,30
60,0,72,5,41
61,0,72,5,50
62,0,72,5,65
63,0,72,10,11
64,0,72,10,15
65,0,72,10,23
66,0,72,10,30
67,0,72,10,41
68,0,72,10,50
69,0,72,10,65
70,0,108,5,11
71,0,108,5,15
72,0,108,5,23
73,0,108,5,30
74,0,108,5,41
75,0,108,5,50
76,0,108,5,65
77,0,108,10,11
78,0,108,10,15
79,0,108,10,23
80,0,108,10,30
81,0,108,10,41
82,0,108,10,50
83,0,108,10,65
84,0,144,5,11
85,0,144,5,15
86,0,144,5,23
87,0,144,5,30
88,0,144,5,41
89,0,144,5,50
90,0,144,5,65
91,0,144,10,11
92,0,144,10,15
93,0,144,10,23
94,0,144,10,30
95,0,144,10,41
96,0,144,10,50
97,0,144,10,65
98,0,180,5,11
99,0,180,5,15
100,0,180,5,23
101,0,180,5,30
102,0,180,5,41
103,0,180,5,50
104,0,180,5,65
105,0,180,10,11
106,0,180,10,15
107,0,180,10,23
108,0,180,10,30
109,0,180,10,41
110,0,180,10,50
111,0,180,10,65
