,kappa,log_kappa,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
105,0.0005555555555555561,-7.495541943884255,10,0,11,180
91,0.000694444444444445,-7.272398392570046,10,0,11,144
77,0.0009259259259259267,-6.984716320118265,10,0,11,108
63,0.00138888888888889,-6.5792512120101,10,0,11,72
106,0.002777777777777778,-5.886104031450156,10,0,15,180
49,0.00277777777777778,-5.886104031450155,10,0,11,36
92,0.003472222222222222,-5.662960480135946,10,0,15,144
78,0.004629629629629629,-5.375278407684165,10,0,15,108
98,0.006666666666666668,-5.0106352940962555,5,0,11,180
35,0.006666666666666672,-5.010635294096255,10,0,11,15
64,0.006944444444444444,-4.969813299576001,10,0,15,72
107,0.007222222222222221,-4.930592586422719,10,0,23,180
84,0.008333333333333335,-4.787491742782046,5,0,11,144
93,0.009027777777777777,-4.707449035108509,10,0,23,144
99,0.011111111111111112,-4.499809670330265,5,0,15,180
108,0.011111111111111112,-4.499809670330265,10,0,30,180
70,0.011111111111111113,-4.499809670330265,5,0,11,108
79,0.012037037037037035,-4.419766962656729,10,0,23,108
85,0.013888888888888888,-4.276666119016055,5,0,15,144
94,0.013888888888888888,-4.276666119016055,10,0,30,144
50,0.013888888888888888,-4.276666119016055,10,0,15,36
21,0.0142857142857143,-4.2484952420493585,10,0,11,7
56,0.01666666666666667,-4.0943445622221,5,0,11,72
109,0.01722222222222222,-4.06155473939911,10,0,41,180
65,0.018055555555555554,-4.014301854548564,10,0,23,72
80,0.018518518518518517,-3.9889840465642745,10,0,30,108
71,0.018518518518518517,-3.9889840465642745,5,0,15,108
100,0.019999999999999997,-3.9120230054281464,5,0,23,180
95,0.021527777777777774,-3.8384111880849003,10,0,41,144
110,0.022222222222222223,-3.8066624897703196,10,0,50,180
86,0.024999999999999998,-3.6888794541139363,5,0,23,144
57,0.027777777777777776,-3.58351893845611,5,0,15,72
96,0.027777777777777776,-3.58351893845611,10,0,50,144
101,0.027777777777777776,-3.58351893845611,5,0,30,180
66,0.027777777777777776,-3.58351893845611,10,0,30,72
81,0.0287037037037037,-3.550729115633119,10,0,41,108
111,0.030555555555555555,-3.488208758651785,10,0,65,180
36,0.03333333333333333,-3.4011973816621555,10,0,15,15
72,0.03333333333333333,-3.4011973816621555,5,0,23,108
42,0.03333333333333334,-3.401197381662155,5,0,11,36
87,0.034722222222222224,-3.3603753871419,5,0,30,144
51,0.03611111111111111,-3.321154673988619,10,0,23,36
82,0.037037037037037035,-3.295836866004329,10,0,50,108
97,0.03819444444444445,-3.2650652073375754,10,0,65,144
102,0.039999999999999994,-3.218875824868201,5,0,41,180
67,0.04305555555555555,-3.145264007524955,10,0,41,72
73,0.046296296296296294,-3.0726933146901194,5,0,30,108
58,0.049999999999999996,-2.9957322735539913,5,0,23,72
88,0.049999999999999996,-2.9957322735539913,5,0,41,144
103,0.05,-2.995732273553991,5,0,50,180
7,0.050000000000000044,-2.99573227355399,10,0,11,2
83,0.05092592592592592,-2.9773831348857946,10,0,65,108
52,0.05555555555555555,-2.890371757896165,10,0,30,36
43,0.05555555555555555,-2.890371757896165,5,0,15,36
68,0.05555555555555555,-2.890371757896165,10,0,50,72
89,0.0625,-2.772588722239781,5,0,50,144
104,0.06666666666666667,-2.70805020110221,5,0,65,180
74,0.06666666666666667,-2.70805020110221,5,0,41,108
59,0.06944444444444445,-2.667228206581955,5,0,30,72
22,0.07142857142857142,-2.639057329615259,10,0,15,7
