,kappa,log_kappa,cdd_immed_amt,cdd_immed_wait,cdd_delay_amt,cdd_delay_wait
7,-0.325,,20,0,7,2
0,-0.15000000000000002,,10,0,7,2
8,-0.15000000000000002,,20,0,14,2
21,-0.09285714285714286,,20,0,7,7
35,-0.043333333333333335,,20,0,7,15
22,-0.042857142857142864,,20,0,14,7
14,-0.042857142857142864,,10,0,7,7
36,-0.020000000000000004,,20,0,14,15
28,-0.020000000000000004,,10,0,7,15
49,-0.018055555555555557,,20,0,7,36
63,-0.009027777777777779,,20,0,7,72
42,-0.008333333333333335,,10,0,7,36
50,-0.008333333333333335,,20,0,14,36
77,-0.0060185185185185185,,20,0,7,108
91,-0.004513888888888889,,20,0,7,144
56,-0.0041666666666666675,,10,0,7,72
64,-0.0041666666666666675,,20,0,14,72
105,-0.0036111111111111114,,20,0,7,180
78,-0.0027777777777777783,,20,0,14,108
70,-0.0027777777777777783,,10,0,7,108
84,-0.0020833333333333337,,10,0,7,144
92,-0.0020833333333333337,,20,0,14,144
106,-0.001666666666666667,,20,0,14,180
98,-0.001666666666666667,,10,0,7,180
107,0.00027777777777777805,-8.1886891244442,20,0,21,180
93,0.0003472222222222225,-7.965545573129991,20,0,21,144
79,0.00046296296296296336,-7.677863500678209,20,0,21,108
65,0.000694444444444445,-7.272398392570046,20,0,21,72
51,0.00138888888888889,-6.5792512120101,20,0,21,36
99,0.002222222222222222,-6.1092475827643655,10,0,14,180
85,0.002777777777777777,-5.886104031450156,10,0,14,144
108,0.002777777777777778,-5.886104031450156,20,0,30,180
37,0.003333333333333336,-5.7037824746562,20,0,21,15
94,0.003472222222222222,-5.662960480135946,20,0,30,144
71,0.003703703703703703,-5.598421958998375,10,0,14,108
80,0.004629629629629629,-5.375278407684165,20,0,30,108
57,0.005555555555555554,-5.19295685089021,10,0,14,72
109,0.005833333333333333,-5.144166686720778,20,0,41,180
100,0.006111111111111111,-5.097646671085886,10,0,21,180
66,0.006944444444444444,-4.969813299576001,20,0,30,72
23,0.00714285714285715,-4.941642422609303,20,0,21,7
95,0.007291666666666665,-4.9210231354065685,20,0,41,144
86,0.0076388888888888895,-4.874503119771676,10,0,21,144
110,0.008333333333333333,-4.787491742782046,20,0,50,180
81,0.00972222222222222,-4.633341062954788,20,0,41,108
72,0.010185185185185186,-4.586821047319895,10,0,21,108
96,0.010416666666666666,-4.564348191467836,20,0,50,144
43,0.011111111111111108,-4.499809670330265,10,0,14,36
101,0.011111111111111112,-4.499809670330265,10,0,30,180
111,0.0125,-4.382026634673881,20,0,65,180
87,0.013888888888888888,-4.276666119016055,10,0,30,144
52,0.013888888888888888,-4.276666119016055,20,0,30,36
82,0.013888888888888888,-4.276666119016055,20,0,50,108
67,0.01458333333333333,-4.227875954846623,20,0,41,72
58,0.015277777777777779,-4.1813559392117305,10,0,21,72
97,0.015625,-4.1588830833596715,20,0,65,144
102,0.01722222222222222,-4.06155473939911,10,0,41,180
73,0.018518518518518517,-3.9889840465642745,10,0,30,108
83,0.020833333333333332,-3.871201010907891,20,0,65,108
68,0.020833333333333332,-3.871201010907891,20,0,50,72
88,0.021527777777777774,-3.8384111880849003,10,0,41,144
103,0.022222222222222223,-3.8066624897703196,10,0,50,180
9,0.025000000000000022,-3.6888794541139354,20,0,21,2
29,0.02666666666666666,-3.624340932976365,10,0,14,15
89,0.027777777777777776,-3.58351893845611,10,0,50,144
59,0.027777777777777776,-3.58351893845611,10,0,30,72
74,0.0287037037037037,-3.550729115633119,10,0,41,108
53,0.02916666666666666,-3.534728774286678,20,0,41,36
104,0.030555555555555555,-3.488208758651785,10,0,65,180
44,0.030555555555555558,-3.488208758651785,10,0,21,36
69,0.03125,-3.4657359027997265,20,0,65,72
38,0.03333333333333333,-3.4011973816621555,20,0,30,15
75,0.037037037037037035,-3.295836866004329,10,0,50,108
90,0.03819444444444445,-3.2650652073375754,10,0,65,144
54,0.041666666666666664,-3.1780538303479458,20,0,50,36
60,0.04305555555555555,-3.145264007524955,10,0,41,72
76,0.05092592592592592,-2.9773831348857946,10,0,65,108
61,0.05555555555555555,-2.890371757896165,10,0,50,72
45,0.05555555555555555,-2.890371757896165,10,0,30,36
15,0.05714285714285713,-2.8622008809294686,10,0,14,7
55,0.0625,-2.772588722239781,20,0,65,36
39,0.06999999999999999,-2.6592600369327783,20,0,41,15
