,kappa_gt,gamma_gt,kappa_bhm_sing,gamma_bhm_sing,kappa_bhm_agg,gamma_bhm_agg
0,1e-05,0.5,0.0013986486,0.4378078883,0.0011364003,0.4280974469
1,1e-05,1.0,7.76265e-05,1.0244499001,6.10698e-05,1.0283312168
2,1e-05,1.5,0.0002424835,5.884628469,0.0002318675,5.8515077112
3,1e-05,2.0,0.000189733,2.135742188,0.000161184,2.157214008
4,1e-05,2.5,4.32666e-05,10.1339432473,5.33697e-05,7.1886745308
5,1e-05,3.0,5.61711e-05,2.5927601209,4.94782e-05,2.6153572748
6,1e-05,3.5,6.83083e-05,2.6621495545,6.14771e-05,2.689245294
7,1e-05,4.0,7.05512e-05,2.6600608787,6.02901e-05,2.685800832
8,1e-05,4.5,4.33438e-05,10.0658832752,5.33393e-05,7.184624654
9,1e-05,5.0,4.42034e-05,10.1148468268,5.35594e-05,7.185118685
10,3.5938136638046256e-05,0.5,0.0006613278,0.5136482142,0.0004713706,0.5089362701
11,3.5938136638046256e-05,1.0,0.0003648096,1.393163682,0.0002958826,1.3928600035
12,3.5938136638046256e-05,1.5,0.0001388989,1.9332816283,0.0001161761,1.949747974
13,3.5938136638046256e-05,2.0,7.01271e-05,2.6546059766,6.09222e-05,2.6839936657
14,3.5938136638046256e-05,2.5,4.32468e-05,10.2644370479,5.29145e-05,7.1713236611
15,3.5938136638046256e-05,3.0,4.30355e-05,10.0651233022,5.31729e-05,7.1649439602
16,3.5938136638046256e-05,3.5,4.42134e-05,10.1851780886,5.31871e-05,7.1589981729
17,3.5938136638046256e-05,4.0,4.37082e-05,10.3256878538,5.29721e-05,7.1728570031
18,3.5938136638046256e-05,4.5,4.36076e-05,10.2293139408,5.36056e-05,7.1953752176
19,3.5938136638046256e-05,5.0,4.38328e-05,10.1734008655,5.31236e-05,7.1549156158
20,0.0001291549665014,0.5,0.000651635,0.6341704714,0.0004764944,0.6274791493
21,0.0001291549665014,1.0,8.597e-05,1.4026769499,6.80287e-05,1.407341756
22,0.0001291549665014,1.5,0.0002396893,6.1461489175,0.0002319017,5.8504336955
