SV_delta,ambig_trial,confidence
-8.736657554424005,0.0,-1.0
-7.473315108848009,0.0,1.0
-6.209972663272014,0.0,-1.0
-4.585675233245735,0.0,1.0
-2.6004228187691707,0.0,-1.0
-0.97612538874289,0.0,-1.0
1.7310369946342412,0.0,1.0
-18.736657554424006,0.0,-1.0
-17.47331510884801,0.0,-1.0
-16.209972663272016,0.0,-1.0
-14.585675233245734,0.0,-1.0
-12.600422818769172,0.0,-1.0
-10.97612538874289,0.0,-1.0
-8.268963005365759,0.0,-1.0
-9.585627181943172,0.0,-1.0
-9.171254363886343,0.0,-1.0
-8.756881545829515,0.0,-1.0
-8.224116494042164,0.0,-1.0
-7.572959208524291,0.0,1.0
-7.040194156736941,0.0,-1.0
-6.152252403758023,0.0,-1.0
-19.58562718194317,0.0,-1.0
-19.171254363886344,0.0,1.0
-18.756881545829515,0.0,-1.0
-18.224116494042164,0.0,-1.0
-17.572959208524292,0.0,-1.0
-17.04019415673694,0.0,-1.0
-16.152252403758023,0.0,-1.0
-9.800321929495059,0.0,-1.0
-9.600643858990118,0.0,-1.0
-9.400965788485175,0.0,-1.0
-9.14423684069311,0.0,-1.0
-8.830457015613915,0.0,-1.0
-8.573728067821847,0.0,1.0
-8.145846488168402,0.0,-1.0
-19.80032192949506,0.0,-1.0
-19.600643858990118,0.0,-1.0
-19.400965788485177,0.0,-1.0
-19.144236840693107,0.0,-1.0
-18.830457015613916,0.0,-1.0
-18.573728067821847,0.0,-1.0
-18.145846488168402,0.0,-1.0
-9.91539295635408,0.0,-1.0
-9.830785912708158,0.0,-1.0
-9.746178869062238,0.0,-1.0
-9.637398384374624,0.0,-1.0
-9.50444445864532,0.0,-1.0
-9.395663973957706,0.0,-1.0
-9.21436316614502,0.0,-1.0
-19.91539295635408,0.0,-1.0
-19.83078591270816,0.0,-1.0
-19.746178869062238,0.0,-1.0
-19.637398384374624,0.0,-1.0
-19.50444445864532,0.0,-1.0
-19.395663973957706,0.0,-1.0
-19.21436316614502,0.0,-1.0
-9.957439268342688,0.0,-1.0
-9.914878536685375,0.0,-1.0
-9.872317805028061,0.0,-1.0
-9.817596864325802,0.0,-1.0
-9.750715714578597,0.0,-1.0
-9.695994773876336,0.0,1.0
-9.604793206039238,0.0,-1.0
-19.957439268342686,0.0,-1.0
-19.914878536685375,0.0,-1.0
-19.87231780502806,0.0,-1.0
-19.817596864325804,0.0,-1.0
-19.750715714578597,0.0,-1.0
-19.695994773876336,0.0,-1.0
-19.60479320603924,0.0,-1.0
-9.971568556846425,0.0,1.0
-9.94313711369285,0.0,-1.0
-9.914705670539275,0.0,1.0
-9.87815095791325,0.0,-1.0
-9.833472975814777,0.0,-1.0
-9.796918263188752,0.0,-1.0
-9.735993742145377,0.0,-1.0
-19.971568556846425,0.0,-1.0
-19.94313711369285,0.0,-1.0
-19.914705670539277,0.0,-1.0
-19.878150957913252,0.0,-1.0
-19.833472975814775,0.0,-1.0
-19.79691826318875,0.0,-1.0
-19.73599374214538,0.0,-1.0
-9.978654743475982,0.0,-1.0
-9.957309486951962,0.0,-1.0
-9.935964230427944,0.0,-1.0
-9.908520329182776,0.0,-1.0
-9.87497778321646,0.0,-1.0
-9.847533881971293,0.0,-1.0
-9.801794046562682,0.0,-1.0
-19.978654743475982,0.0,-1.0
-19.957309486951964,0.0,-1.0
-19.935964230427942,0.0,-1.0
-19.908520329182775,0.0,-1.0
-19.874977783216462,0.0,-1.0
-19.847533881971295,0.0,-1.0
-19.80179404656268,0.0,-1.0
-9.982913374254794,0.0,-1.0
-9.965826748509588,0.0,-1.0
-9.948740122764384,0.0,-1.0
-9.926771603949119,0.0,-1.0
-9.899921192063797,0.0,-1.0
-9.877952673248533,0.0,-1.0
-9.841338475223091,0.0,1.0
-19.982913374254796,0.0,-1.0
-19.96582674850959,0.0,-1.0
-19.948740122764384,0.0,-1.0
-19.92677160394912,0.0,-1.0
-19.899921192063797,0.0,-1.0
-19.877952673248533,0.0,-1.0
-19.841338475223093,0.0,-1.0
