,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CDD,1.0,0.2678571428571429,112,0,0,0,28.3535714282899,0.2428383711240887,0.0022,1,1,-28.3535714282899,-77.63248422271387,60.7071428565798,66.14414059916999,0.6347718134724567,0.8839285714285714,0.9743949847325596,p0000/cdd/p0000_cdd_gain_model_fit.eps
1,p0001,CDD,1.0,0.2410714285714286,112,0,0,0,10.677459366092833,0.7398033899973956,0.0022,1,1,-10.677459366092833,-77.63248422271387,25.354918732185666,30.791916474775853,0.8624614493146826,0.9642857142857143,0.9999846817750595,p0001/cdd/p0001_cdd_gain_model_fit.eps
2,p0002,CDD,1.0,0.2321428571428571,112,0,0,0,13.087236452481411,0.6021473660911473,0.0022,1,1,-13.087236452481411,-77.63248422271387,30.174472904962823,35.61147064755301,0.8314206149202125,0.9553571428571429,0.9998794811353722,p0002/cdd/p0002_cdd_gain_model_fit.eps
3,p0003,CDD,1.0,0.2410714285714286,112,0,0,0,6.315340258153591,1.241366947775427,0.0022,1,1,-6.315340258153591,-77.63248422271387,16.63068051630718,22.06767825889737,0.9186508029288873,0.9821428571428571,0.9999999916643105,p0003/cdd/p0003_cdd_gain_model_fit.eps
4,p0004,CDD,1.0,0.2678571428571429,112,0,0,0,8.632940826687204,0.910961383050094,0.0022,1,1,-8.632940826687204,-77.63248422271387,21.265881653374407,26.702879395964594,0.8887973132236652,0.9732142857142857,0.9999988216211281,p0004/cdd/p0004_cdd_gain_model_fit.eps
5,p0005,CDD,1.0,0.2410714285714286,112,0,0,0,8.88624945643179,0.885674045796804,0.0022,1,1,-8.88624945643179,-77.63248422271387,21.77249891286358,27.20949665545377,0.8855343926527108,0.9821428571428571,0.9999982786878299,p0005/cdd/p0005_cdd_gain_model_fit.eps
6,p0006,CDD,1.0,0.2410714285714286,112,0,0,0,10.090226583627924,0.7822668765046916,0.0022,1,1,-10.090226583627924,-77.63248422271387,24.18045316725585,29.617450909846035,0.8700257155924465,0.9642857142857143,0.9999918931728445,p0006/cdd/p0006_cdd_gain_model_fit.eps
7,p0007,CDD,1.0,0.25,112,0,0,0,5.601895771361185,1.4068195684555704,0.0022,1,1,-5.601895771361185,-77.63248422271387,15.20379154272237,20.640789285312557,0.9278408281346461,0.9910714285714286,0.9999999993015367,p0007/cdd/p0007_cdd_gain_model_fit.eps
8,p0008,CDD,1.0,0.2410714285714286,112,0,0,0,6.315340258153592,1.2413669719815301,0.0022,1,1,-6.315340258153592,-77.63248422271387,16.630680516307184,22.067678258897374,0.9186508029288873,0.9821428571428571,0.9999999916643135,p0008/cdd/p0008_cdd_gain_model_fit.eps
9,p0009,CDD,1.0,0.2589285714285714,112,0,0,0,0.6790124844056924,8.0,0.0022,1,1,-0.6790124844056924,-77.63248422271387,5.358024968811385,10.795022711401574,0.9912535005004126,1.0,1.0,p0009/cdd/p0009_cdd_gain_model_fit.eps
10,p0010,CDD,1.0,0.3035714285714286,112,0,0,0,27.531708664312035,0.26834246167351794,0.003273616599728496,1,0,-27.531708664312035,-77.63248422271387,59.06341732862407,64.50041507121426,0.6453583968106904,0.8928571428571429,0.985004277908277,p0010/cdd/p0010_cdd_gain_model_fit.eps
11,p0011,CDD,1.0,0.25,112,0,0,0,17.259423884447006,0.4466723113817125,0.0022,1,1,-17.259423884447006,-77.63248422271387,38.51884776889401,43.9558455114842,0.7776778102973908,0.9196428571428571,0.9987628232094504,p0011/cdd/p0011_cdd_gain_model_fit.eps
12,p0012,CDD,1.0,0.2857142857142857,112,0,0,0,12.68510568512355,0.6326287422443877,0.0024810747643241693,1,0,-12.68510568512355,-77.63248422271387,29.3702113702471,34.80720911283729,0.8366005440617844,0.9464285714285714,0.99993168501588,p0012/cdd/p0012_cdd_gain_model_fit.eps
13,p0013,CDD,1.0,0.2946428571428571,112,0,0,0,17.059123459943113,0.46699910425382546,0.0028451067735727293,1,0,-17.059123459943113,-77.63248422271387,38.118246919886225,43.55524466247641,0.780257921271674,0.9196428571428571,0.9992374804836058,p0013/cdd/p0013_cdd_gain_model_fit.eps
