,alpha,log_alpha,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p,crdm_amb_lev
19,0.12493874307662065,-2.079931717183256,5,1.0,50,0.75,0.0
18,0.1383458410239761,-1.9779986344661316,5,1.0,40,0.75,0.0
17,0.20751876748423576,-1.5725334976941903,5,1.0,20,0.75,0.0
15,0.3010300112488879,-1.200545314057682,5,1.0,50,0.5,0.0
14,0.3333333524425179,-1.0986122313405577,5,1.0,40,0.5,0.0
11,0.420216425138608,-0.8669854024760527,5,1.0,50,0.38,0.0
10,0.4653095854521051,-0.7650523197589284,5,1.0,40,0.38,0.0
13,0.5000000429956664,-0.6931470945686163,5,1.0,20,0.5,0.0
7,0.6020600224977758,-0.5073981334977368,5,1.0,50,0.25,0.0
16,0.6120849447049296,-0.4908842075639701,5,1.0,8,0.75,0.0
6,0.6666667048850358,-0.4054650507806124,5,1.0,40,0.25,0.0
9,0.6979643981844533,-0.35958718298698683,5,1.0,20,0.38,0.0
3,0.8860566935660343,-0.1209743422007001,5,1.0,50,0.13,0.0
2,0.9811388801241661,-0.019041259483575775,5,1.0,40,0.13,0.0
5,1.0000000859913327,8.599132902388147e-08,5,1.0,20,0.25,0.0
1,1.471708362370969,0.38642387728836575,5,1.0,20,0.13,0.0
12,1.4747702214100396,0.3885021955616038,5,1.0,8,0.5,0.0
8,2.0586740430654977,0.7220621071432332,5,1.0,8,0.38,0.0
4,2.949540442820079,1.081649376121549,5,1.0,8,0.25,0.0
0,4.34086296157309,1.4680731674185858,5,1.0,8,0.13,0.0
