,alpha,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p,crdm_amb_lev
24,2.1249388466204997,5,1.0,50,0.75,0.0
19,2.3010301147927668,5,1.0,50,0.5,0.0
23,2.3529646979075585,5,1.0,40,0.75,0.0
14,2.420216528682487,5,1.0,50,0.38,0.0
18,2.5479522093261,5,1.0,40,0.5,0.0
9,2.6020601260416547,5,1.0,50,0.25,0.0
13,2.6799284423356875,5,1.0,40,0.38,0.0
8,2.881285561768618,5,1.0,40,0.25,0.0
4,2.886056797109913,5,1.0,50,0.13,0.0
3,3.1957577370077486,5,1.0,40,0.13,0.0
22,3.529447148028623,5,1.0,20,0.75,0.0
17,3.821928423540053,5,1.0,20,0.5,0.0
12,4.01989277872884,5,1.0,20,0.38,0.0
7,4.321928466535719,5,1.0,20,0.25,0.0
2,4.793636742915356,5,1.0,20,0.13,0.0
21,7.058894903061026,5,1.0,10,0.75,0.0
16,7.6438575043856005,5,1.0,10,0.5,0.0
11,8.039786248809616,5,1.0,10,0.38,0.0
6,8.643857676368281,5,1.0,10,0.25,0.0
1,9.587274310253209,5,1.0,10,0.13,0.0
20,26.836406750949223,5,1.0,6,0.75,0.0
15,29.06030929076919,5,1.0,6,0.5,0.0
10,30.56554558847181,5,1.0,6,0.38,0.0
5,32.862095793456604,5,1.0,6,0.25,0.0
0,36.44876380172634,5,1.0,6,0.13,0.0
