,beta_top,beta_bottom,crdm_amb_lev,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p
2,1.3513513513513513,-1.3513513513513513,0.74,5,1.0,8,0.5
5,1.3513513513513513,-1.3513513513513513,0.74,5,1.0,20,0.5
8,1.3513513513513513,-1.3513513513513513,0.74,5,1.0,40,0.5
11,1.3513513513513513,-1.3513513513513513,0.74,5,1.0,50,0.5
1,2.0,-2.0,0.5,5,1.0,8,0.5
4,2.0,-2.0,0.5,5,1.0,20,0.5
7,2.0,-2.0,0.5,5,1.0,40,0.5
10,2.0,-2.0,0.5,5,1.0,50,0.5
0,4.166666666666667,-4.166666666666667,0.24,5,1.0,8,0.5
3,4.166666666666667,-4.166666666666667,0.24,5,1.0,20,0.5
6,4.166666666666667,-4.166666666666667,0.24,5,1.0,40,0.5
9,4.166666666666667,-4.166666666666667,0.24,5,1.0,50,0.5
