,crdm_sure_p,crdm_lott_p,crdm_sure_amt,crdm_lott_amt,crdm_amb_lev
0,1.0,0.13,5,5,0.0
4,1.0,0.13,5,8,0.0
8,1.0,0.13,5,20,0.0
12,1.0,0.13,5,40,0.0
16,1.0,0.13,5,50,0.0
20,1.0,0.25,5,5,0.0
24,1.0,0.25,5,8,0.0
28,1.0,0.25,5,20,0.0
32,1.0,0.25,5,40,0.0
36,1.0,0.25,5,50,0.0
40,1.0,0.38,5,5,0.0
44,1.0,0.38,5,8,0.0
48,1.0,0.38,5,20,0.0
52,1.0,0.38,5,40,0.0
56,1.0,0.38,5,50,0.0
60,1.0,0.5,5,5,0.0
61,1.0,0.5,5,5,0.24
62,1.0,0.5,5,5,0.5
63,1.0,0.5,5,5,0.74
64,1.0,0.5,5,8,0.0
65,1.0,0.5,5,8,0.24
66,1.0,0.5,5,8,0.5
67,1.0,0.5,5,8,0.74
68,1.0,0.5,5,20,0.0
69,1.0,0.5,5,20,0.24
70,1.0,0.5,5,20,0.5
71,1.0,0.5,5,20,0.74
72,1.0,0.5,5,40,0.0
73,1.0,0.5,5,40,0.24
74,1.0,0.5,5,40,0.5
75,1.0,0.5,5,40,0.74
76,1.0,0.5,5,50,0.0
77,1.0,0.5,5,50,0.24
78,1.0,0.5,5,50,0.5
79,1.0,0.5,5,50,0.74
80,1.0,0.75,5,5,0.0
84,1.0,0.75,5,8,0.0
88,1.0,0.75,5,20,0.0
92,1.0,0.75,5,40,0.0
96,1.0,0.75,5,50,0.0
