,alpha_gt,beta_gt,gamma_gt
0,0.2671353019658504,-4.1,1.6
1,0.2671353019658504,-4.1,3.2
2,0.2671353019658504,-4.1,4.800000000000001
3,0.2671353019658504,-4.1,6.4
4,0.2671353019658504,-4.1,8.0
5,0.2671353019658504,-4.1,1.6
6,0.2671353019658504,-4.1,3.2
7,0.2671353019658504,-4.1,4.800000000000001
8,0.2671353019658504,-4.1,6.4
9,0.2671353019658504,-4.1,8.0
10,0.2671353019658504,-4.1,1.6
11,0.2671353019658504,-4.1,3.2
12,0.2671353019658504,-4.1,4.800000000000001
13,0.2671353019658504,-4.1,6.4
14,0.2671353019658504,-4.1,8.0
15,0.2671353019658504,-4.1,1.6
16,0.2671353019658504,-4.1,3.2
17,0.2671353019658504,-4.1,4.800000000000001
18,0.2671353019658504,-4.1,6.4
19,0.2671353019658504,-4.1,8.0
20,0.2671353019658504,-4.1,1.6
21,0.2671353019658504,-4.1,3.2
22,0.2671353019658504,-4.1,4.800000000000001
23,0.2671353019658504,-4.1,6.4
24,0.2671353019658504,-4.1,8.0
25,0.5272924240430485,-4.1,1.6
26,0.5272924240430485,-4.1,3.2
27,0.5272924240430485,-4.1,4.800000000000001
28,0.5272924240430485,-4.1,6.4
29,0.5272924240430485,-4.1,8.0
30,0.5272924240430485,-4.1,1.6
31,0.5272924240430485,-4.1,3.2
32,0.5272924240430485,-4.1,4.800000000000001
33,0.5272924240430485,-4.1,6.4
34,0.5272924240430485,-4.1,8.0
35,0.5272924240430485,-4.1,1.6
36,0.5272924240430485,-4.1,3.2
37,0.5272924240430485,-4.1,4.800000000000001
38,0.5272924240430485,-4.1,6.4
39,0.5272924240430485,-4.1,8.0
40,0.5272924240430485,-4.1,1.6
41,0.5272924240430485,-4.1,3.2
42,0.5272924240430485,-4.1,4.800000000000001
43,0.5272924240430485,-4.1,6.4
44,0.5272924240430485,-4.1,8.0
45,0.5272924240430485,-4.1,1.6
46,0.5272924240430485,-4.1,3.2
47,0.5272924240430485,-4.1,4.800000000000001
48,0.5272924240430485,-4.1,6.4
49,0.5272924240430485,-4.1,8.0
50,1.0408107741923882,-4.1,1.6
51,1.0408107741923882,-4.1,3.2
52,1.0408107741923882,-4.1,4.800000000000001
53,1.0408107741923882,-4.1,6.4
54,1.0408107741923882,-4.1,8.0
55,1.0408107741923882,-4.1,1.6
56,1.0408107741923882,-4.1,3.2
57,1.0408107741923882,-4.1,4.800000000000001
58,1.0408107741923882,-4.1,6.4
59,1.0408107741923882,-4.1,8.0
60,1.0408107741923882,-4.1,1.6
61,1.0408107741923882,-4.1,3.2
62,1.0408107741923882,-4.1,4.800000000000001
63,1.0408107741923882,-4.1,6.4
64,1.0408107741923882,-4.1,8.0
65,1.0408107741923882,-4.1,1.6
66,1.0408107741923882,-4.1,3.2
67,1.0408107741923882,-4.1,4.800000000000001
68,1.0408107741923882,-4.1,6.4
69,1.0408107741923882,-4.1,8.0
70,1.0408107741923882,-4.1,1.6
71,1.0408107741923882,-4.1,3.2
72,1.0408107741923882,-4.1,4.800000000000001
73,1.0408107741923882,-4.1,6.4
74,1.0408107741923882,-4.1,8.0
75,2.054433210643887,-4.1,1.6
76,2.054433210643887,-4.1,3.2
77,2.054433210643887,-4.1,4.800000000000001
78,2.054433210643887,-4.1,6.4
79,2.054433210643887,-4.1,8.0
80,2.054433210643887,-4.1,1.6
81,2.054433210643887,-4.1,3.2
82,2.054433210643887,-4.1,4.800000000000001
83,2.054433210643887,-4.1,6.4
84,2.054433210643887,-4.1,8.0
85,2.054433210643887,-4.1,1.6
86,2.054433210643887,-4.1,3.2
87,2.054433210643887,-4.1,4.800000000000001
88,2.054433210643887,-4.1,6.4
89,2.054433210643887,-4.1,8.0
90,2.054433210643887,-4.1,1.6
91,2.054433210643887,-4.1,3.2
92,2.054433210643887,-4.1,4.800000000000001
93,2.054433210643887,-4.1,6.4
94,2.054433210643887,-4.1,8.0
95,2.054433210643887,-4.1,1.6
96,2.054433210643887,-4.1,3.2
97,2.054433210643887,-4.1,4.800000000000001
98,2.054433210643887,-4.1,6.4
99,2.054433210643887,-4.1,8.0
100,4.055199966844674,-4.1,1.6
101,4.055199966844674,-4.1,3.2
102,4.055199966844674,-4.1,4.800000000000001
103,4.055199966844674,-4.1,6.4
104,4.055199966844674,-4.1,8.0
105,4.055199966844674,-4.1,1.6
106,4.055199966844674,-4.1,3.2
107,4.055199966844674,-4.1,4.800000000000001
108,4.055199966844674,-4.1,6.4
109,4.055199966844674,-4.1,8.0
110,4.055199966844674,-4.1,1.6
111,4.055199966844674,-4.1,3.2
112,4.055199966844674,-4.1,4.800000000000001
113,4.055199966844674,-4.1,6.4
114,4.055199966844674,-4.1,8.0
115,4.055199966844674,-4.1,1.6
116,4.055199966844674,-4.1,3.2
117,4.055199966844674,-4.1,4.800000000000001
118,4.055199966844674,-4.1,6.4
119,4.055199966844674,-4.1,8.0
120,4.055199966844674,-4.1,1.6
121,4.055199966844674,-4.1,3.2
122,4.055199966844674,-4.1,4.800000000000001
123,4.055199966844674,-4.1,6.4
124,4.055199966844674,-4.1,8.0
