,alpha_gt,beta_gt,gamma_gt,alpha_bhm_sing,beta_bhm_sing,gamma_bhm_sing,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
0,0.6,-3.0,1.0,1.1259259913,0.2824566627,0.313055559,1.0996876648,0.2549374956,0.3272027098
1,0.6,-3.0,2.0,0.7307498162,0.1935984247,0.8579410494,0.734201113,0.1451125584,0.8718700377
2,0.6,-3.0,3.0,0.863100962,0.1928225394,0.7544054634,0.8649602321,0.2585328505,0.7266232237
3,0.6,-3.0,4.0,0.7955192928,0.1772670846,0.8466686523,0.7912302966,0.1107764356,0.9343133691
4,0.6,-3.0,5.0,0.7300583944,0.1803556547,0.8598842612,0.7104012564,0.1357112034,0.8917073667
5,0.6,-1.5,1.0,0.760730045,0.2781299246,0.7224729851,0.7664367246,0.2749167287,0.699179032
6,0.6,-1.5,2.0,0.7597227574,0.1886283422,1.0441712083,0.7863822455,0.1976162347,0.9387474672
7,0.6,-1.5,3.0,0.6790206931,0.1388551326,1.261123523,0.6716845076,0.3155011436,0.7945670259
8,0.6,-1.5,4.0,0.6846096579,0.157339299,1.0975125152,0.6715444972,0.2909711226,1.0573986005
9,0.6,-1.5,5.0,0.7680811275,0.1644256745,1.0082598899,0.7722257668,0.1939520394,1.0287961493
10,0.6,0.0,1.0,0.7371120936,0.6016586343,0.6881577061,0.6892073998,0.4128269387,0.7510636792
11,0.6,0.0,2.0,0.6192161841,0.2761205738,3.3381300157,0.617071435,0.3010283371,2.8077537179
12,0.6,0.0,3.0,0.6642410619,0.1374003856,2.7363279452,0.6807051404,0.2606354225,2.4367219938
13,0.6,0.0,4.0,0.5856545426,0.0504126374,7.5350173965,0.6235185937,0.1436137446,3.0455820495
14,0.6,0.0,5.0,0.6501973716,0.2027663837,3.4219970293,0.6490923849,0.2112481413,2.7982143612
15,0.6,1.5,1.0,0.5895454848,0.9430619124,1.1779583815,0.5663852189,0.782704333,1.56161399
16,0.6,1.5,2.0,0.6419870524,1.7972350627,1.1571013687,0.6209122274,1.6925600849,1.3383157588
17,0.6,1.5,3.0,0.6826458635,2.2498434827,1.743872892,0.6907999654,2.1507093815,1.9153617356
18,0.6,1.5,4.0,0.694580788,2.2582521634,2.4236382381,0.6958338961,2.3827239116,2.1232750528
19,0.6,1.5,5.0,0.728827436,1.7806141822,2.713972074,0.6820694687,1.6936917092,2.58784685
20,0.6,3.0,1.0,0.6949430034,88639935.43873775,0.6007172343,0.6526122467,21.5946357938,0.6991177689
21,0.6,3.0,2.0,0.5525746372,736857093876.634,2.8603650966,0.5698143381,9.0865799603,2.6184942258
22,0.6,3.0,3.0,0.661184571,98444020019.29343,2.2488485217,0.6467781862,15.2892504559,2.2031831202
23,0.6,3.0,4.0,0.5661340616,12373989476.49558,4.5781086216,0.5786298974,17.2001145072,2.804915354
24,0.6,3.0,5.0,0.6290346178,1.368271294662207e+16,4.1927743426,0.6325472913,29.8355218907,2.9251635557
25,1.2,-3.0,1.0,1.5340700987,0.2556792323,0.2008003431,1.49211821,0.2560242798,0.2295712377
26,1.2,-3.0,2.0,1.4150582038,0.2142385452,0.3445803828,1.2941648478,0.1762199523,0.422452434
27,1.2,-3.0,3.0,1.4139634196,0.2126481541,0.3465099473,1.4015706241,0.3004639985,0.3239612522
28,1.2,-3.0,4.0,1.4133313555,0.2128117618,0.347680483,1.3470946466,0.2847712495,0.4089771102
29,1.2,-3.0,5.0,1.4129348652,0.2144303416,0.3477711885,1.4486407711,0.2608464523,0.3327739983
30,1.2,-1.5,1.0,1.4862028445,0.2181346013,0.3003150717,1.2414701202,0.2171952391,0.2605296145
31,1.2,-1.5,2.0,1.4169819123,0.2132066528,0.3451317661,1.4699233317,0.2737918154,0.3258996084
32,1.2,-1.5,3.0,1.3817178178,0.1822717356,0.5044428596,1.2524032834,0.2169039672,0.3960643011
33,1.2,-1.5,4.0,1.3840355259,0.1837049894,0.5007787592,1.4033478351,0.2155792946,0.5888448084
34,1.2,-1.5,5.0,1.3814013463,0.1824131066,0.5036333984,1.3783638201,0.1762073053,0.4262774943
35,1.2,0.0,1.0,1.0561808057,0.3937878534,1.1890209601,1.0186621006,0.3967592324,1.3861996166
36,1.2,0.0,2.0,1.2414012854,0.3420067896,2.9611971893,1.2871306378,0.4543504499,1.9767631555
37,1.2,0.0,3.0,1.241537766,0.3518029293,2.9027349514,1.2978291666,0.424751998,2.1020179831
38,1.2,0.0,4.0,1.2426199566,0.3460141178,2.9797293041,1.2852987287,0.5117360142,2.1894847457
39,1.2,0.0,5.0,1.2410621085,0.3457854104,2.9869578756,1.2277106368,0.3964722018,2.4414126688
40,1.2,1.5,1.0,1.2748943198,1.4819092409,0.6397439227,1.3077590319,1.4389257008,0.6263704446
41,1.2,1.5,2.0,1.2336772234,1.464685542,2.1371133785,1.2819518774,1.4738771451,2.1766016798
42,1.2,1.5,3.0,1.2338571639,1.4642616911,2.1524510306,1.2470177218,1.4856439653,2.1328803461
43,1.2,1.5,4.0,1.2349291338,1.4662453245,2.1354763626,1.1969552621,1.4366100409,2.5663871393
44,1.2,1.5,5.0,1.2323386431,1.463906082,2.1443169214,1.2500014276,1.4983282118,1.866483365
45,1.2,3.0,1.0,1.6584588413,2.5087137151,0.5631802357,1.7154115869,2.3994153096,0.5674167702
46,1.2,3.0,2.0,1.2144031354,2.9339468797,2.2148299886,1.2450435585,3.1115534448,2.268018739
47,1.2,3.0,3.0,1.2138061849,2.9280496176,2.2204473439,1.2878097174,3.134407893,2.2473868346
48,1.2,3.0,4.0,1.2114700256,2.9230283395,2.1964113819,1.1998538062,2.8085403139,1.9815481999
49,1.2,3.0,5.0,1.2131305004,2.9250779189,2.1929986945,1.2918673483,3.1136653917,2.0225075484
50,1.7999999999999998,-3.0,1.0,2.0087738182,0.1813224039,0.1658353226,1.9450550085,0.1871248673,0.1590788895
