,alpha_gt,beta_gt,gamma_gt,alpha_bhm_agg,beta_bhm_agg,gamma_bhm_agg
0,0.2231301601484298,-2.0,0.1,0.4944524703,0.2886587053,0.111077086
1,0.2231301601484298,-2.0,0.5,0.4873871585,0.1178067811,0.2352004944
2,0.2231301601484298,-2.0,2.0,0.3355743244,-1.3754756599,1.7144497109
3,0.2231301601484298,-2.0,5.0,0.2788993445,-1.4862169952,4.0904583962
4,0.2231301601484298,-2.0,8.0,0.2639773919,-1.8528771479,4.8437878376
5,0.2231301601484298,-1.0,0.1,0.4576882025,0.1598529216,0.0999314303
6,0.2231301601484298,-1.0,0.5,0.4797691175,-0.0205198499,0.3818649517
7,0.2231301601484298,-1.0,2.0,0.3350970157,-0.3962085054,2.4046104719
8,0.2231301601484298,-1.0,5.0,0.2530775829,-1.0224992483,4.7590156429
9,0.2231301601484298,-1.0,8.0,0.2358615525,-0.9768259061,4.1183668527
10,0.2231301601484298,0.0,0.1,0.3406969609,0.2214326322,0.4478972783
11,0.2231301601484298,0.0,0.5,0.566687688,0.2723039831,0.2349469477
12,0.2231301601484298,0.0,2.0,0.2940906684,0.5875421218,1.5588541009
13,0.2231301601484298,0.0,5.0,0.1888749841,0.5116164937,3.9397943094
14,0.2231301601484298,0.0,8.0,0.251877414,0.4247320268,5.1900715041
15,0.2231301601484298,1.0,0.1,0.434332464,0.0483808621,0.2546441842
16,0.2231301601484298,1.0,0.5,0.3523532401,0.804024088,0.4491400453
17,0.2231301601484298,1.0,2.0,0.1945495191,0.5160257874,2.5446081482
18,0.2231301601484298,1.0,5.0,0.1801033567,0.5361732508,5.1644076251
19,0.2231301601484298,1.0,8.0,0.2535619143,0.9240345067,5.9037001147
20,0.2231301601484298,2.0,0.1,0.4283908775,0.6516583573,0.2551796765
21,0.2231301601484298,2.0,0.5,0.3704759498,0.8686238915,0.6228930849
22,0.2231301601484298,2.0,2.0,0.3148024865,1.4193249663,2.0422281522
23,0.2231301601484298,2.0,5.0,0.2369874602,0.9009726085,5.8414902682
24,0.2231301601484298,2.0,8.0,0.1992772293,0.8500736179,5.9012230214
25,0.3678794411714423,-2.0,0.1,0.6245258211,-0.2623278694,0.2830919668
26,0.3678794411714423,-2.0,0.5,0.5990663406,-0.1524996696,0.2235472784
27,0.3678794411714423,-2.0,2.0,0.3850254884,-1.4002143647,1.9044499274
28,0.3678794411714423,-2.0,5.0,0.409362697,-1.4384127117,4.4424480288
29,0.3678794411714423,-2.0,8.0,0.3892364229,-1.7255480454,4.6922669218
30,0.3678794411714423,-1.0,0.1,0.5046327402,0.1183294522,0.2454821627
31,0.3678794411714423,-1.0,0.5,0.5099107721,-0.185109466,0.2152711106
32,0.3678794411714423,-1.0,2.0,0.4477526418,-0.6688055713,1.2966455718
33,0.3678794411714423,-1.0,5.0,0.3354817883,-1.1976175792,4.7768694354
34,0.3678794411714423,-1.0,8.0,0.3819629501,-0.9245363461,5.4619889511
35,0.3678794411714423,0.0,0.1,0.4687438914,0.2784376396,0.3637748958
36,0.3678794411714423,0.0,0.5,0.3959141313,0.583686849,0.3705520611
37,0.3678794411714423,0.0,2.0,0.4304517243,0.2803250136,1.788411183
38,0.3678794411714423,0.0,5.0,0.3739605902,0.0012183517,3.561749463
39,0.3678794411714423,0.0,8.0,0.3848051677,0.1161465222,4.901991086
40,0.3678794411714423,1.0,0.1,0.4895095568,0.8608890324,0.2873734098
41,0.3678794411714423,1.0,0.5,0.4021017528,0.3586912671,0.4359708735
42,0.3678794411714423,1.0,2.0,0.3994254161,0.6795447984,1.9254307324
43,0.3678794411714423,1.0,5.0,0.3483049772,0.9027185482,4.3608198643
44,0.3678794411714423,1.0,8.0,0.3570218702,0.7973207059,5.3795198996
45,0.3678794411714423,2.0,0.1,0.4846275922,0.3526395461,0.1407254535
46,0.3678794411714423,2.0,0.5,0.3652431216,0.9399437188,0.4546884878
47,0.3678794411714423,2.0,2.0,0.3939365118,1.3397713613,2.0856508407
48,0.3678794411714423,2.0,5.0,0.3411700461,1.1641168161,5.3286912337
49,0.3678794411714423,2.0,8.0,0.3682473829,1.2255172303,5.6075912574
50,0.6065306597126334,-2.0,0.1,0.6030166285,-0.1791706601,0.1505146322
51,0.6065306597126334,-2.0,0.5,0.5958586295,-0.5126229825,0.7822945075
52,0.6065306597126334,-2.0,2.0,0.6388377041,-1.2386923475,1.9167535186
53,0.6065306597126334,-2.0,5.0,0.5928523293,-1.2792240193,4.1725534071
54,0.6065306597126334,-2.0,8.0,0.5983310143,-1.2729291057,4.4371839461
55,0.6065306597126334,-1.0,0.1,0.4785796495,0.1546874187,0.2032107893
56,0.6065306597126334,-1.0,0.5,0.5600371761,-0.417476201,0.7782927704
57,0.6065306597126334,-1.0,2.0,0.6809962469,-0.4824599766,1.2789393135
58,0.6065306597126334,-1.0,5.0,0.6312873966,-0.7831589262,3.769329044
59,0.6065306597126334,-1.0,8.0,0.6564643951,-0.8106848389,4.5753815079
60,0.6065306597126334,0.0,0.1,0.5352141164,0.3624450631,0.1630603143
61,0.6065306597126334,0.0,0.5,0.7681311077,-0.3373999668,0.2228145935
62,0.6065306597126334,0.0,2.0,0.5507185279,-0.1683411703,2.1395466386
63,0.6065306597126334,0.0,5.0,0.6197832044,0.1319546384,3.2441839131
64,0.6065306597126334,0.0,8.0,0.6372521851,-0.0290102201,5.1012389817
65,0.6065306597126334,1.0,0.1,0.444958236,0.3663524594,0.5947704103
66,0.6065306597126334,1.0,0.5,0.5471406053,0.8676966952,0.5948505731
67,0.6065306597126334,1.0,2.0,0.5358559921,1.0821585009,2.6147731624
68,0.6065306597126334,1.0,5.0,0.6111210242,1.0082279831,3.6825793642
69,0.6065306597126334,1.0,8.0,0.5790745267,1.1625448006,5.30471955
70,0.6065306597126334,2.0,0.1,0.4282545248,0.6969095061,0.3579829301
71,0.6065306597126334,2.0,0.5,0.6073322186,1.0749867266,0.7257192485
72,0.6065306597126334,2.0,2.0,0.6293585904,1.7589271165,2.4098072214
73,0.6065306597126334,2.0,5.0,0.5106575926,1.3985097794,4.2839128791
