,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CRDM,gain,1.0,0.7,0.64,0.8,40,0,0,0,22.044568755150802,3.1273965635581833,-2.2147850585082973,1.256424426094232,0,-22.044568755150802,-27.72588722239781,50.089137510301605,51.46689641852948,0.20491024946020364,0.675,0.5466640752172247,p0000/crdm/p0000_crdm_gain_model_fit.eps
1,p0001,CRDM,gain,1.0,0.625,0.4,1.0,40,0,0,0,13.979220269354824,8.0,-4.167,1.2843952455951453,1,-13.979220269354824,-27.725887222397812,33.95844053870965,35.33619944693752,0.4958062060476829,0.875,0.6341356792728434,p0001/crdm/p0001_crdm_gain_model_fit.eps
2,p0002,CRDM,gain,1.0,0.625,0.44,0.9333333333333333,40,0,0,0,15.316700493332643,8.0,-4.167,1.2125652104351194,1,-15.316700493332643,-27.725887222397812,36.633400986665286,38.01115989489316,0.4475668038871864,0.825,0.6200957540675602,p0002/crdm/p0002_crdm_gain_model_fit.eps
3,p0003,CRDM,gain,1.0,0.575,0.36,0.9333333333333333,40,0,0,0,15.35852180196742,8.0,-4.167,1.2076709094816855,1,-15.35852180196742,-27.725887222397812,36.71704360393484,38.094802512162715,0.44605841902291443,0.825,0.6191897149935449,p0003/crdm/p0003_crdm_gain_model_fit.eps
4,p0004,CRDM,gain,1.0,0.575,0.36,0.9333333333333333,40,0,0,0,16.62605671580471,8.0,-4.167,1.1368946152434218,1,-16.62605671580471,-27.725887222397812,39.25211343160942,40.6298723398373,0.4003417606642474,0.825,0.6067732960384328,p0004/crdm/p0004_crdm_gain_model_fit.eps
5,p0005,CRDM,gain,1.0,0.5,0.32,0.8,40,0,0,0,18.698611423357004,8.0,-4.167,1.0779702673374878,1,-18.698611423357004,-27.725887222397812,43.39722284671401,44.774981754941884,0.32559015070032826,0.75,0.5973480467853096,p0005/crdm/p0005_crdm_gain_model_fit.eps
6,p0006,CRDM,gain,1.0,0.55,0.4,0.8,40,0,0,0,18.61368745926969,8.0,-4.167,1.0770267637767172,1,-18.61368745926969,-27.725887222397812,43.22737491853938,44.60513382676726,0.3286531352463632,0.75,0.5972030606413204,p0006/crdm/p0006_crdm_gain_model_fit.eps
7,p0007,CRDM,gain,1.0,0.525,0.36,0.8,40,0,0,0,16.72809966517663,8.0,-4.167,1.157584777027417,1,-16.72809966517663,-27.725887222397812,39.45619933035326,40.83395823858113,0.39666133923883373,0.775,0.610273202115295,p0007/crdm/p0007_crdm_gain_model_fit.eps
8,p0008,CRDM,gain,1.0,0.55,0.36,0.8666666666666667,40,0,0,0,16.115310173637194,8.0,-4.167,1.182262856297384,1,-16.115310173637194,-27.725887222397812,38.23062034727439,39.608379255502264,0.418763048252654,0.8,0.6145864409377143,p0008/crdm/p0008_crdm_gain_model_fit.eps
9,p0009,CRDM,gain,1.0,0.6,0.48,0.8,40,0,0,0,14.203052786713059,8.0,-4.167,1.2986556969290117,1,-14.203052786713059,-27.72588722239781,34.40610557342612,35.78386448165399,0.4877331544781224,0.8,0.6370931262631722,p0009/crdm/p0009_crdm_gain_model_fit.eps
10,p0010,CRDM,gain,1.0,0.5,0.36,0.7333333333333333,40,0,0,0,21.965503337030995,8.0,-0.5326826444185307,1.060864234152983,1,-21.965503337030995,-27.725887222397812,49.93100667406199,51.308765582289865,0.2077619316258852,0.7,0.5613967457654523,p0010/crdm/p0010_crdm_gain_model_fit.eps
11,p0011,CRDM,gain,1.0,0.44999999999999996,0.36,0.6,40,0,0,0,20.239415126729607,8.0,-0.7959009983937986,1.1131954846392238,1,-20.239415126729607,-27.725887222397812,46.478830253459215,47.85658916168709,0.27001740415435316,0.725,0.5915593031249592,p0011/crdm/p0011_crdm_gain_model_fit.eps
