,subject,task,domain,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CRDM,gain,1.0,0.5357142857142857,0.3,0.9285714285714286,112,0,0,0,63.871619423393625,8.0,-4.167,0.8351431074668636,1,-63.871619423393625,-77.63248422271387,133.74323884678725,137.18023658937744,0.1772565303957394,0.6785714285714286,0.5432483654832482,p0000/crdm/p0000_crdm_gain_model_fit.eps
1,p0001,CRDM,gain,1.0,0.5089285714285714,0.2571428571428571,0.9285714285714286,112,0,0,0,59.89339937801312,8.0,-4.167,0.8927969302127938,1,-59.89339937801312,-77.63248422271387,125.78679875602624,129.22379649861642,0.22850080120855665,0.6607142857142857,0.5606242847040884,p0001/crdm/p0001_crdm_gain_model_fit.eps
2,p0002,CRDM,gain,1.0,0.4642857142857143,0.18571428571428572,0.9285714285714286,112,0,0,0,57.53352698753202,8.0,-4.167,0.923024686191489,1,-57.53352698753202,-77.63248422271387,121.06705397506404,124.50405171765424,0.2588988029485375,0.6696428571428571,0.5667909054267444,p0002/crdm/p0002_crdm_gain_model_fit.eps
3,p0003,CRDM,gain,1.0,0.4821428571428572,0.17142857142857143,1.0,112,0,0,0,57.91355386640778,8.0,-4.167,0.9086981593729231,1,-57.91355386640778,-77.63248422271388,121.82710773281556,125.26410547540576,0.2540035985417648,0.6964285714285714,0.5640557704202807,p0003/crdm/p0003_crdm_gain_model_fit.eps
4,p0004,CRDM,gain,1.0,0.4821428571428572,0.17142857142857143,1.0,112,0,0,0,58.02445878583304,8.0,-4.167,0.9034638763631236,1,-58.02445878583304,-77.63248422271388,122.04891757166608,125.48591531425627,0.25257500945904143,0.7053571428571429,0.5629762702844507,p0004/crdm/p0004_crdm_gain_model_fit.eps
5,p0005,CRDM,gain,1.0,0.5267857142857143,0.32857142857142857,0.8571428571428571,112,0,0,0,61.322735509271446,8.0,-4.167,0.8884739883822659,1,-61.322735509271446,-77.63248422271387,128.64547101854288,132.08246876113307,0.21008922845561195,0.7142857142857143,0.5596079428832554,p0005/crdm/p0005_crdm_gain_model_fit.eps
6,p0006,CRDM,gain,1.0,0.4821428571428572,0.22857142857142856,0.9047619047619048,112,0,0,0,61.347624626559956,8.0,-4.167,0.8674273461138335,1,-61.347624626559956,-77.63248422271388,128.69524925311993,132.1322469957101,0.20976862661557427,0.6875,0.5540634466653335,p0006/crdm/p0006_crdm_gain_model_fit.eps
7,p0007,CRDM,gain,1.0,0.4910714285714286,0.21428571428571427,0.9523809523809523,112,0,0,0,59.899769110915855,8.0,-4.167,0.8854320375158831,1,-59.899769110915855,-77.63248422271387,125.79953822183171,129.2365359644219,0.22841875136864087,0.7053571428571429,0.5588693447955289,p0007/crdm/p0007_crdm_gain_model_fit.eps
8,p0008,CRDM,gain,1.0,0.4732142857142857,0.17142857142857143,0.9761904761904762,112,0,0,0,56.95174995751072,8.0,-4.167,0.9287874093529507,1,-56.95174995751072,-77.63248422271387,119.90349991502144,123.34049765761164,0.2663927925567058,0.6785714285714286,0.5678109189260028,p0008/crdm/p0008_crdm_gain_model_fit.eps
9,p0009,CRDM,gain,1.0,0.4642857142857143,0.15714285714285714,0.9761904761904762,112,0,0,0,57.95412740812289,8.0,-4.167,0.9084699671938345,1,-57.95412740812289,-77.63248422271387,121.90825481624579,125.34525255883598,0.25348096240405305,0.6785714285714286,0.5640096649430549,p0009/crdm/p0009_crdm_gain_model_fit.eps
