,kappa,gamma
0,1e-08,0.5
1,1e-08,1.0
2,1e-08,1.5
3,1e-08,2.0
4,1e-08,2.5
5,1e-08,3.0
6,1e-08,3.5
7,1e-08,4.0
8,1e-08,4.5
9,1e-08,5.0
10,1.2915496650148827e-07,0.5
11,1.2915496650148827e-07,1.0
12,1.2915496650148827e-07,1.5
13,1.2915496650148827e-07,2.0
14,1.2915496650148827e-07,2.5
15,1.2915496650148827e-07,3.0
16,1.2915496650148827e-07,3.5
17,1.2915496650148827e-07,4.0
18,1.2915496650148827e-07,4.5
19,1.2915496650148827e-07,5.0
20,1.6681005372000591e-06,0.5
21,1.6681005372000591e-06,1.0
22,1.6681005372000591e-06,1.5
23,1.6681005372000591e-06,2.0
24,1.6681005372000591e-06,2.5
25,1.6681005372000591e-06,3.0
26,1.6681005372000591e-06,3.5
27,1.6681005372000591e-06,4.0
28,1.6681005372000591e-06,4.5
29,1.6681005372000591e-06,5.0
30,2.1544346900318867e-05,0.5
31,2.1544346900318867e-05,1.0
32,2.1544346900318867e-05,1.5
33,2.1544346900318867e-05,2.0
34,2.1544346900318867e-05,2.5
35,2.1544346900318867e-05,3.0
36,2.1544346900318867e-05,3.5
37,2.1544346900318867e-05,4.0
38,2.1544346900318867e-05,4.5
39,2.1544346900318867e-05,5.0
40,0.0002782559402207126,0.5
41,0.0002782559402207126,1.0
42,0.0002782559402207126,1.5
43,0.0002782559402207126,2.0
44,0.0002782559402207126,2.5
45,0.0002782559402207126,3.0
46,0.0002782559402207126,3.5
47,0.0002782559402207126,4.0
48,0.0002782559402207126,4.5
49,0.0002782559402207126,5.0
50,0.003593813663804626,0.5
51,0.003593813663804626,1.0
52,0.003593813663804626,1.5
53,0.003593813663804626,2.0
54,0.003593813663804626,2.5
55,0.003593813663804626,3.0
56,0.003593813663804626,3.5
57,0.003593813663804626,4.0
58,0.003593813663804626,4.5
59,0.003593813663804626,5.0
60,0.04641588833612782,0.5
61,0.04641588833612782,1.0
62,0.04641588833612782,1.5
63,0.04641588833612782,2.0
64,0.04641588833612782,2.5
65,0.04641588833612782,3.0
66,0.04641588833612782,3.5
67,0.04641588833612782,4.0
68,0.04641588833612782,4.5
69,0.04641588833612782,5.0
70,0.5994842503189421,0.5
71,0.5994842503189421,1.0
72,0.5994842503189421,1.5
73,0.5994842503189421,2.0
74,0.5994842503189421,2.5
75,0.5994842503189421,3.0
76,0.5994842503189421,3.5
77,0.5994842503189421,4.0
78,0.5994842503189421,4.5
79,0.5994842503189421,5.0
80,7.742636826811277,0.5
81,7.742636826811277,1.0
82,7.742636826811277,1.5
83,7.742636826811277,2.0
84,7.742636826811277,2.5
85,7.742636826811277,3.0
86,7.742636826811277,3.5
87,7.742636826811277,4.0
88,7.742636826811277,4.5
89,7.742636826811277,5.0
90,100.0,0.5
91,100.0,1.0
92,100.0,1.5
93,100.0,2.0
94,100.0,2.5
95,100.0,3.0
96,100.0,3.5
97,100.0,4.0
98,100.0,4.5
99,100.0,5.0
