,subject,task,response_rate,percent_impulse,conf_1,conf_2,conf_3,conf_4,negLL,gamma,kappa,alpha,at_bound,LL,LL0,AIC,BIC,R2,softmax_accuracy,softmax_range,fig_fn
0,p0000,CDD,1.0,0.25,112,0,0,0,17.888952210515637,0.4289103561861256,0.0022,1,1,-17.888952210515637,-77.63248422271387,39.77790442103127,45.21490216362146,0.7695687264213342,0.9375,0.9983861386548534,p0000/cdd/p0000_cdd_gain_model_fit.eps
1,p0001,CDD,1.0,0.2232142857142857,112,0,0,0,17.56549273663064,0.43789274928200533,0.0022,1,1,-17.56549273663064,-77.63248422271387,39.13098547326128,44.56798321585147,0.7737352744472488,0.9285714285714286,0.9985891029476422,p0001/cdd/p0001_cdd_gain_model_fit.eps
2,p0002,CDD,1.0,0.2232142857142857,112,0,0,0,12.307843520853911,0.6413874246996485,0.0022,1,1,-12.307843520853911,-77.63248422271387,28.615687041707822,34.05268478429801,0.8414601356109527,0.9642857142857143,0.9999330583613287,p0002/cdd/p0002_cdd_gain_model_fit.eps
3,p0003,CDD,1.0,0.2321428571428571,112,0,0,0,12.517130565627019,0.6304253653465477,0.0022,1,1,-12.517130565627019,-77.63248422271387,29.034261131254038,34.47125887384423,0.8387642661322342,0.9553571428571429,0.9999211077447132,p0003/cdd/p0003_cdd_gain_model_fit.eps
4,p0004,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676815,0.5159067580166766,0.0022,1,1,-15.145989862676815,-77.63248422271387,34.29197972535363,39.72897746794382,0.8049013887121576,0.9553571428571429,0.9995612799164044,p0004/cdd/p0004_cdd_gain_model_fit.eps
5,p0005,CDD,1.0,0.2232142857142857,112,0,0,0,15.606827661438556,0.4993855371452419,0.0022,1,1,-15.606827661438556,-77.63248422271387,35.213655322877116,40.6506530654673,0.7989652422217313,0.9464285714285714,0.999438102208284,p0005/cdd/p0005_cdd_gain_model_fit.eps
6,p0006,CDD,1.0,0.2232142857142857,112,0,0,0,14.86398010569505,0.526464726176775,0.0022,1,1,-14.86398010569505,-77.63248422271387,33.7279602113901,39.16495795398029,0.8085340144075137,0.9642857142857143,0.9996254566587541,p0006/cdd/p0006_cdd_gain_model_fit.eps
7,p0007,CDD,1.0,0.2232142857142857,112,0,0,0,14.863980105695049,0.526464737852601,0.0022,1,1,-14.863980105695049,-77.63248422271387,33.7279602113901,39.164957953980284,0.8085340144075137,0.9642857142857143,0.9996254567242635,p0007/cdd/p0007_cdd_gain_model_fit.eps
8,p0008,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676812,0.5159067645057771,0.0022,1,1,-15.145989862676812,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121577,0.9553571428571429,0.9995612799590484,p0008/cdd/p0008_cdd_gain_model_fit.eps
9,p0009,CDD,1.0,0.2142857142857143,112,0,0,0,15.145989862676812,0.5159067609067091,0.0022,1,1,-15.145989862676812,-77.63248422271387,34.29197972535363,39.728977467943814,0.8049013887121577,0.9553571428571429,0.9995612799353967,p0009/cdd/p0009_cdd_gain_model_fit.eps
10,p0010,CDD,1.0,0.25,112,0,0,0,16.7109115648878,0.46313011579012336,0.0022,1,1,-16.7109115648878,-77.63248422271387,37.4218231297756,42.85882087236579,0.7847433103268067,0.9196428571428571,0.9990329729787992,p0010/cdd/p0010_cdd_gain_model_fit.eps
